,regiao,latitude,longitude,nome oficial
0,sudoeste,"-15,848741","-48,067949",SUDOESTE
1,aguasclaras,"-15,835755","-48,023704",Águas Claras
2,recantodasemas,"-15,91697","-48,101851",Recanto das Emas
3,samambaia,"-15,874647","-48,101735",Samambaia
4,taguatinga,"-15,829303","-48,055925",Taguatinga
5,vicentepires,"-15,80135","-48,029207",Vicente Pires
6,central,"-15,787416","-47,904364",CENTRAL
7,planopiloto,"-15,79558","-47,880991",Plano Piloto
8,sudoeste/octogonal,"-15,791981","-47,929973",Sudoeste/Octogonal
9,cruzeiro,"-15,783461","-47,935849",Cruzeiro
10,lagonorte,"-15,716136","-47,872314",Lago Norte
11,lagosul,"-15,866769","-47,863069",Lago Sul
12,varjaodotorto,"-15,709046","-47,878307",Varjão do Torto
13,centrosul,"-15,832904","-47,964603",CENTRO SUL
14,candangolandia,"-15,850394","-47,948315",Candangolândia
15,parkway,"-15,912218","-47,958777",Parkway
16,guara,"-15,819059","-47,97966",Guará
17,nucleobandeirante,"-15,872164","-47,968502",Núcleo Bandeirante
18,riachofundoi,"-15,882885","-48,016893",Riacho Fundo I
19,riachofundoii,"-15,924313","-48,037374",Riacho Fundo II
20,scia(estrutural),"-15,783705","-47,987222",SCIA (Estrutural)
21,sia,"-15,802812","-47,960215",SIA
22,norte,"-15,661909","-47,813598",NORTE
23,fercal,"-15,598803","-47,86915",Fercal
24,planaltina,"-15,713838","-47,520359",Planaltina
25,sobradinhoi,"-15,653501","-47,802874",Sobradinho I
26,sobradinhoii,"-15,621837","-47,803434",Sobradinho II
27,sul,"-16,025131","-48,051063",SUL
28,gama,"-15,99793","-48,145463",Gama
29,santamaria,"-16,024697","-47,990179",Santa Maria
30,oeste,"-15,76191","-48,139419",OESTE
31,brazlandia,"-15,631225","-48,131325",Brazlândia
32,ceilandia,"-15,817297","-48,170523",Ceilândia
33,leste,"-15,835614","-47,715819",LESTE
34,itapoa,"-15,744747","-47,764271",Itapoã
35,paranoa,"-15,931541","-47,525609",Paranoá
36,saosebastiao,"-15,934012","-47,756858",São Sebastião
37,jardimbotanico,"-15,855691","-47,809974",Jardim Botânico
38,populacaoprivadadeliberdade,"-15,90473","-47,80732",População Privada de Liberdade
39,raeminvestigacao,,,RA em Investigação
40,totaldf,-15.773805,-47.807301,Total DF
