,regiao,latitude,longitude
0,sudoeste,"-15,848741","-48,067949"
1,aguasclaras,"-15,835755","-48,023704"
2,recantodasemas,"-15,91697","-48,101851"
3,samambaia,"-15,874647","-48,101735"
4,taguatinga,"-15,829303","-48,055925"
5,vicentepires,"-15,80135","-48,029207"
6,central,"-15,787416","-47,904364"
7,planopiloto,"-15,79558","-47,880991"
8,sudoeste/octogonal,"-15,791981","-47,929973"
9,cruzeiro,"-15,783461","-47,935849"
10,lagonorte,"-15,716136","-47,872314"
11,lagosul,"-15,866769","-47,863069"
12,varjaodotorto,"-15,709046","-47,878307"
13,centrosul,"-15,832904","-47,964603"
14,candangolandia,"-15,850394","-47,948315"
15,parkway,"-15,912218","-47,958777"
16,guara,"-15,819059","-47,97966"
17,nucleobandeirante,"-15,872164","-47,968502"
18,riachofundoi,"-15,882885","-48,016893"
19,riachofundoii,"-15,924313","-48,037374"
20,scia(estrutural),"-15,783705","-47,987222"
21,sia,"-15,802812","-47,960215"
22,norte,"-15,661909","-47,813598"
23,fercal,"-15,598803","-47,86915"
24,planaltina,"-15,713838","-47,520359"
25,sobradinhoi,"-15,653501","-47,802874"
26,sobradinhoii,"-15,621837","-47,803434"
27,sul,"-16,025131","-48,051063"
28,gama,"-15,99793","-48,145463"
29,santamaria,"-16,024697","-47,990179"
30,oeste,"-15,76191","-48,139419"
31,brazlandia,"-15,631225","-48,131325"
32,ceilandia,"-15,817297","-48,170523"
33,leste,"-15,835614","-47,715819"
34,itapoa,"-15,744747","-47,764271"
35,paranoa,"-15,931541","-47,525609"
36,saosebastiao,"-15,934012","-47,756858"
37,jardimbotanico,"-15,855691","-47,809974"
38,populacaoprivadadeliberdade,"-15,90473","-47,80732"
39,raeminvestigacao,,
